<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.07.04,15:00:00,68.37,68.50,65.70,66.11,100,0,0
2019.07.05,15:00:00,66.35,67.90,66.25,67.40,100,0,0
2019.07.08,15:00:00,66.67,67.78,66.00,66.50,100,0,0
2019.07.09,15:00:00,66.94,67.40,66.27,66.48,100,0,0
2019.07.10,15:00:00,67.06,68.33,66.60,67.41,100,0,0
2019.07.11,15:00:00,67.70,67.95,66.40,66.66,100,0,0
2019.07.12,15:00:00,66.49,67.39,66.10,66.45,100,0,0
2019.07.15,15:00:00,66.89,67.73,65.55,67.38,100,0,0
2019.07.16,15:00:00,67.20,67.50,66.05,66.06,100,0,0
2019.07.17,15:00:00,66.11,66.82,65.28,66.24,100,0,0
2019.07.18,15:00:00,66.10,66.43,65.65,66.02,100,0,0
2019.07.19,15:00:00,66.50,67.02,65.85,66.02,100,0,0
2019.07.22,15:00:00,65.99,67.02,65.35,66.54,100,0,0
2019.07.23,15:00:00,66.54,66.81,65.80,66.05,100,0,0
2019.07.24,15:00:00,66.42,66.92,66.06,66.60,100,0,0
2019.07.25,15:00:00,66.59,66.99,66.40,66.72,100,0,0
2019.07.26,15:00:00,66.45,67.16,66.45,66.82,100,0,0
2019.07.29,15:00:00,66.82,67.45,66.20,66.65,100,0,0
2019.07.30,15:00:00,66.75,67.25,66.63,66.96,100,0,0
2019.07.31,15:00:00,66.40,66.99,65.67,66.94,100,0,0
2019.08.01,15:00:00,66.60,67.34,66.48,66.73,100,0,0
2019.08.02,15:00:00,65.73,66.53,65.19,66.04,100,0,0
2019.08.05,15:00:00,65.70,65.99,63.91,64.10,100,0,0
2019.08.06,15:00:00,63.00,65.42,61.85,64.74,100,0,0
2019.08.07,15:00:00,65.00,65.98,64.70,65.50,100,0,0
2019.08.08,15:00:00,65.88,66.80,65.88,66.66,100,0,0
2019.08.09,15:00:00,67.08,67.81,66.69,66.88,100,0,0
2019.08.12,15:00:00,66.73,67.32,66.65,67.25,100,0,0
2019.08.13,15:00:00,67.25,67.64,66.90,67.06,100,0,0
2019.08.14,15:00:00,67.59,69.40,67.59,68.69,100,0,0
2019.08.15,15:00:00,68.05,69.30,68.00,69.00,100,0,0
2019.08.16,15:00:00,69.00,69.70,68.33,69.12,100,0,0
2019.08.19,15:00:00,69.51,72.15,69.30,71.94,100,0,0
2019.08.20,15:00:00,71.95,72.45,71.10,71.96,100,0,0
2019.08.21,15:00:00,72.20,72.30,70.96,71.71,100,0,0
2019.08.22,15:00:00,72.99,72.99,71.20,71.73,100,0,0
2019.08.23,15:00:00,72.50,77.80,72.30,76.60,100,0,0
2019.08.26,15:00:00,76.06,76.61,75.17,75.55,100,0,0
2019.08.27,15:00:00,76.10,77.78,75.60,75.80,100,0,0
2019.08.28,15:00:00,76.05,77.83,75.51,77.12,100,0,0
2019.08.29,15:00:00,76.03,78.10,75.70,76.94,100,0,0
2019.08.30,15:00:00,77.88,80.56,77.50,79.98,100,0,0
2019.09.02,15:00:00,80.49,80.68,78.83,79.61,100,0,0
2019.09.03,15:00:00,79.73,79.86,78.00,78.50,100,0,0
2019.09.04,15:00:00,78.78,79.49,77.31,78.28,100,0,0
2019.09.05,15:00:00,78.79,78.96,78.00,78.48,100,0,0
2019.09.06,15:00:00,79.14,80.18,77.80,80.11,100,0,0
2019.09.09,15:00:00,80.23,80.23,78.33,79.25,100,0,0
2019.09.10,15:00:00,79.56,81.25,79.15,80.57,100,0,0
2019.09.11,15:00:00,80.35,80.35,77.30,78.09,100,0,0
2019.09.12,15:00:00,78.48,78.95,77.58,78.60,100,0,0
2019.09.16,15:00:00,79.40,80.47,78.50,79.76,100,0,0
2019.09.17,15:00:00,79.60,80.38,78.82,79.03,100,0,0
2019.09.18,15:00:00,79.00,80.10,78.68,79.81,100,0,0
2019.09.19,15:00:00,80.16,81.37,79.47,80.14,100,0,0
2019.09.20,15:00:00,80.14,83.44,80.00,81.50,100,0,0
2019.09.23,15:00:00,82.04,82.04,80.58,81.10,100,0,0
2019.09.24,15:00:00,81.00,83.38,80.75,82.50,100,0,0
2019.09.25,15:00:00,82.14,83.78,81.58,82.83,100,0,0
2019.09.26,15:00:00,83.50,83.83,81.06,81.31,100,0,0
2019.09.27,15:00:00,81.40,82.00,80.66,81.05,100,0,0
2019.09.30,15:00:00,80.80,82.40,80.55,80.68,100,0,0
2019.10.08,15:00:00,80.12,81.65,80.12,80.35,100,0,0
2019.10.09,15:00:00,80.35,80.36,77.57,78.69,100,0,0
2019.10.10,15:00:00,78.78,83.37,78.70,83.00,100,0,0
2019.10.11,15:00:00,83.90,84.30,82.62,83.39,100,0,0
2019.10.14,15:00:00,83.82,84.90,82.68,83.56,100,0,0
2019.10.15,15:00:00,84.17,85.95,83.74,85.25,100,0,0
2019.10.16,15:00:00,85.60,86.34,84.25,85.97,100,0,0
2019.10.17,15:00:00,86.24,86.86,84.60,85.80,100,0,0
2019.10.18,15:00:00,85.80,85.88,83.66,84.27,100,0,0
2019.10.21,15:00:00,84.26,84.70,81.80,82.61,100,0,0
2019.10.22,15:00:00,83.40,83.82,82.53,83.69,100,0,0
2019.10.23,15:00:00,83.50,84.42,82.56,82.78,100,0,0
2019.10.24,15:00:00,83.20,83.48,81.65,82.71,100,0,0
2019.10.25,15:00:00,85.10,87.57,85.07,87.54,100,0,0
2019.10.28,15:00:00,87.37,91.15,87.21,91.08,100,0,0
2019.10.29,15:00:00,90.79,91.56,90.19,90.76,100,0,0
2019.10.30,15:00:00,91.73,91.75,89.55,90.18,100,0,0
2019.10.31,15:00:00,91.00,92.66,89.88,90.88,100,0,0
2019.11.01,15:00:00,90.72,92.50,90.45,92.50,100,0,0
2019.11.04,15:00:00,92.50,93.00,91.55,92.20,100,0,0
2019.11.05,15:00:00,92.00,92.16,90.48,91.30,100,0,0
2019.11.06,15:00:00,91.35,91.90,90.50,91.19,100,0,0
2019.11.07,15:00:00,91.49,91.87,90.41,90.58,100,0,0
2019.11.08,15:00:00,91.50,92.92,90.88,91.30,100,0,0
2019.11.11,15:00:00,90.81,90.81,88.00,88.88,100,0,0
2019.11.12,15:00:00,89.45,89.91,88.09,89.67,100,0,0
2019.11.13,15:00:00,89.58,92.00,88.36,91.39,100,0,0
2019.11.14,15:00:00,92.00,94.99,92.00,94.33,100,0,0
2019.11.15,15:00:00,94.10,94.65,92.69,92.70,100,0,0
2019.11.18,15:00:00,93.70,93.85,92.30,92.90,100,0,0
2019.11.19,15:00:00,92.90,95.63,92.70,95.63,100,0,0
2019.11.20,15:00:00,95.02,96.47,94.51,95.00,100,0,0
2019.11.21,15:00:00,95.00,95.00,91.80,92.60,100,0,0
2019.11.22,15:00:00,93.00,93.65,88.03,88.98,100,0,0
2019.11.25,15:00:00,89.00,89.49,86.58,88.12,100,0,0
2019.11.26,15:00:00,88.88,90.10,88.18,88.90,100,0,0
2019.11.27,15:00:00,88.91,90.25,88.18,89.65,100,0,0
