<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2001.06.30,15:00:00,105.18,105.18,105.18,105.18,100,0,0
2001.07.31,15:00:00,105.16,105.16,105.16,105.16,100,0,0
2001.08.31,15:00:00,104.98,104.98,104.98,104.98,100,0,0
2001.09.30,15:00:00,104.69,104.69,104.69,104.69,100,0,0
2001.10.31,15:00:00,104.35,104.35,104.35,104.35,100,0,0
2001.11.30,15:00:00,103.96,103.96,103.96,103.96,100,0,0
2001.12.31,15:00:00,105.27,105.27,105.27,105.27,100,0,0
2002.01.31,15:00:00,103.91,103.91,103.91,103.91,100,0,0
2002.02.28,15:00:00,103.53,103.53,103.53,103.53,100,0,0
2002.03.31,15:00:00,103.87,103.87,103.87,103.87,100,0,0
2002.04.30,15:00:00,104.60,104.60,104.60,104.60,100,0,0
2002.05.31,15:00:00,104.37,104.37,104.37,104.37,100,0,0
2002.06.30,15:00:00,104.65,104.65,104.65,104.65,100,0,0
2002.07.31,15:00:00,104.29,104.29,104.29,104.29,100,0,0
2002.08.31,15:00:00,104.46,104.46,104.46,104.46,100,0,0
2002.09.30,15:00:00,104.97,104.97,104.97,104.97,100,0,0
2002.10.31,15:00:00,105.15,105.15,105.15,105.15,100,0,0
2002.11.30,15:00:00,104.90,104.90,104.90,104.90,100,0,0
2002.12.31,15:00:00,104.18,104.18,104.18,104.18,100,0,0
2003.01.31,15:00:00,108.89,108.89,108.89,108.89,100,0,0
2003.02.28,15:00:00,109.14,109.14,109.14,109.14,100,0,0
2003.03.31,15:00:00,107.34,107.34,107.34,107.34,100,0,0
2003.04.30,15:00:00,106.89,106.89,106.89,106.89,100,0,0
2003.05.31,15:00:00,106.28,106.28,106.28,106.28,100,0,0
2003.06.30,15:00:00,107.04,107.04,107.04,107.04,100,0,0
2003.07.31,15:00:00,107.27,107.27,107.27,107.27,100,0,0
2003.08.31,15:00:00,106.89,106.89,106.89,106.89,100,0,0
2003.09.30,15:00:00,106.65,106.65,106.65,106.65,100,0,0
2003.10.31,15:00:00,106.67,106.67,106.67,106.67,100,0,0
2003.11.30,15:00:00,106.45,106.45,106.45,106.45,100,0,0
2003.12.31,15:00:00,106.19,106.19,106.19,106.19,100,0,0
2004.01.31,15:00:00,107.89,107.89,107.89,107.89,100,0,0
2004.02.29,15:00:00,107.79,107.79,107.79,107.79,100,0,0
2004.03.31,15:00:00,106.20,106.20,106.20,106.20,100,0,0
2004.04.30,15:00:00,105.77,105.77,105.77,105.77,100,0,0
2004.05.31,15:00:00,105.92,105.92,105.92,105.92,100,0,0
2004.06.30,15:00:00,105.18,105.18,105.18,105.18,100,0,0
2004.07.31,15:00:00,105.25,105.25,105.25,105.25,100,0,0
2004.08.31,15:00:00,105.16,105.16,105.16,105.16,100,0,0
2004.09.30,15:00:00,104.83,104.83,104.83,104.83,100,0,0
2004.10.31,15:00:00,104.87,104.87,104.87,104.87,100,0,0
2004.11.30,15:00:00,105.09,105.09,105.09,105.09,100,0,0
2004.12.31,15:00:00,105.32,105.32,105.32,105.32,100,0,0
2005.01.31,15:00:00,103.44,103.44,103.44,103.44,100,0,0
2005.02.28,15:00:00,102.80,102.80,102.80,102.80,100,0,0
2005.03.31,15:00:00,102.19,102.19,102.19,102.19,100,0,0
2005.04.30,15:00:00,101.90,101.90,101.90,101.90,100,0,0
2005.05.31,15:00:00,101.83,101.83,101.83,101.83,100,0,0
2005.06.30,15:00:00,101.65,101.65,101.65,101.65,100,0,0
2005.07.31,15:00:00,101.86,101.86,101.86,101.86,100,0,0
2005.08.31,15:00:00,101.86,101.86,101.86,101.86,100,0,0
2005.09.30,15:00:00,101.57,101.57,101.57,101.57,100,0,0
2005.10.31,15:00:00,101.10,101.10,101.10,101.10,100,0,0
2005.11.30,15:00:00,101.08,101.08,101.08,101.08,100,0,0
2005.12.31,15:00:00,100.92,100.92,100.92,100.92,100,0,0
2006.01.31,15:00:00,100.76,100.76,100.76,100.76,100,0,0
2006.02.28,15:00:00,101.05,101.05,101.05,101.05,100,0,0
2006.03.31,15:00:00,101.46,101.46,101.46,101.46,100,0,0
2006.04.30,15:00:00,101.61,101.61,101.61,101.61,100,0,0
2006.05.31,15:00:00,101.87,101.87,101.87,101.87,100,0,0
