<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.07.04,15:00:00,26.17,26.36,25.93,26.18,100,0,0
2019.07.05,15:00:00,26.21,26.25,25.75,25.95,100,0,0
2019.07.08,15:00:00,26.04,26.04,24.87,25.23,100,0,0
2019.07.09,15:00:00,25.30,25.35,24.75,24.95,100,0,0
2019.07.10,15:00:00,25.09,25.14,24.53,24.72,100,0,0
2019.07.12,15:00:00,24.73,25.09,24.44,24.90,100,0,0
2019.07.15,15:00:00,24.85,24.93,24.30,24.69,100,0,0
2019.07.16,15:00:00,24.65,24.69,24.40,24.57,100,0,0
2019.07.17,15:00:00,24.60,24.82,24.41,24.66,100,0,0
2019.07.18,15:00:00,24.55,24.55,24.16,24.17,100,0,0
2019.07.19,15:00:00,24.23,24.39,24.15,24.22,100,0,0
2019.07.22,15:00:00,24.25,24.59,24.09,24.36,100,0,0
2019.07.23,15:00:00,24.37,24.80,24.27,24.65,100,0,0
2019.07.24,15:00:00,24.65,24.94,24.59,24.74,100,0,0
2019.07.25,15:00:00,24.64,24.78,24.35,24.50,100,0,0
2019.07.26,15:00:00,24.35,24.64,24.31,24.42,100,0,0
2019.07.29,15:00:00,24.47,24.49,24.25,24.33,100,0,0
2019.07.30,15:00:00,24.38,24.50,24.25,24.39,100,0,0
2019.07.31,15:00:00,24.30,24.33,23.95,24.01,100,0,0
2019.08.01,15:00:00,23.97,24.12,23.80,23.96,100,0,0
2019.08.02,15:00:00,23.69,23.85,23.51,23.62,100,0,0
2019.08.05,15:00:00,23.59,23.70,22.68,22.71,100,0,0
2019.08.06,15:00:00,22.30,22.30,21.65,22.10,100,0,0
2019.08.07,15:00:00,22.15,22.24,21.17,21.57,100,0,0
2019.08.08,15:00:00,21.55,22.16,21.50,22.09,100,0,0
2019.08.09,15:00:00,22.15,22.47,21.56,21.85,100,0,0
2019.08.12,15:00:00,21.83,21.90,21.42,21.87,100,0,0
2019.08.26,15:00:00,21.62,22.95,21.56,22.55,100,0,0
2019.08.27,15:00:00,22.54,22.83,22.23,22.55,100,0,0
2019.08.28,15:00:00,22.53,22.64,22.22,22.40,100,0,0
2019.08.29,15:00:00,22.46,22.59,22.23,22.39,100,0,0
2019.08.30,15:00:00,22.49,22.63,22.18,22.22,100,0,0
2019.09.02,15:00:00,22.20,22.47,22.12,22.35,100,0,0
2019.09.03,15:00:00,22.31,22.59,22.10,22.19,100,0,0
2019.09.04,15:00:00,22.20,22.21,21.72,21.93,100,0,0
2019.09.05,15:00:00,22.00,22.98,22.00,22.75,100,0,0
2019.09.06,15:00:00,22.76,23.78,22.70,23.46,100,0,0
2019.09.09,15:00:00,23.62,23.93,23.46,23.65,100,0,0
2019.09.10,15:00:00,23.66,23.94,23.32,23.82,100,0,0
2019.09.11,15:00:00,23.76,23.86,23.31,23.47,100,0,0
2019.09.12,15:00:00,23.53,23.95,23.53,23.58,100,0,0
2019.09.16,15:00:00,24.00,24.97,23.86,24.96,100,0,0
2019.09.17,15:00:00,24.80,24.80,24.24,24.38,100,0,0
