<DATE>  <OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.08.17	11047	11109	10802	11039	8424	0	17
2018.08.20	10957	11119	10847	11014	10421	0	17
2018.08.21	11034	11312	10997	11277	6580	0	20
2018.08.22	11259	11267	11127	11232	5371	0	20
2018.08.23	11220	11307	11104	11197	6785	0	20
2018.08.24	11187	11387	11115	11347	6052	0	20
2018.08.27	11340	11602	11332	11562	5999	0	20
2018.08.28	11562	11592	11457	11477	5204	0	20
2018.08.29	11479	11504	11402	11479	4990	0	20
2018.08.30	11479	11514	11182	11214	6329	0	20
2018.08.31	11229	11372	11199	11282	6737	0	20
2018.09.03	11279	11289	11164	11254	5992	0	17
2018.09.04	11249	11459	11189	11352	9063	0	17
2018.09.05	11344	11377	11077	11079	9955	0	17
2018.09.06	11111	11176	10954	11024	10420	0	17
2018.09.07	10999	11184	10916	10999	12096	0	17
2018.09.10	11011	11089	10942	10984	9500	0	0
2018.09.11	10984	11047	10624	10834	10027	0	17
2018.09.12	10821	11044	10766	11007	10978	0	17
2018.09.13	11009	11127	10837	11067	10378	0	17
2018.09.14	11057	11079	10919	10957	7101	0	20
2018.09.17	10962	11022	10929	10934	5976	0	20
2018.09.18	10914	11252	10882	11222	6812	0	20
2018.09.19	11189	11407	11147	11379	6372	0	17
2018.09.20	11387	11417	11312	11407	4621	0	20
2018.09.21	11412	11809	11337	11734	6508	0	20
2018.09.24	11752	11757	11627	11652	3970	0	20
2018.09.25	11632	11664	11542	11614	4581	0	17
2018.09.26	11622	11890	11614	11807	7025	0	20
2018.09.27	11840	11852	11659	11729	4987	0	20
2018.09.28	11729	11919	11724	11837	6227	0	20
2018.10.01	11837	11889	11787	11857	2164	0	20
2018.10.02	11842	11847	11529	11612	4020	0	20
2018.10.03	11637	11674	11564	11587	4002	0	20
2018.10.04	11569	11569	11247	11294	5493	0	20
2018.10.05	11327	11452	11312	11442	5863	0	0
2018.10.08	11449	11549	11109	11237	8148	0	20
2018.10.09	11202	11362	11199	11272	7975	0	20
2018.10.10	11272	11414	10967	10967	10675	0	20
2018.10.11	10979	11074	10732	10892	17617	0	20
2018.10.12	10927	11152	10867	11134	13083	0	20
2018.10.15	11094	11132	10949	10992	9856	0	20
2018.10.16	11012	11207	10944	11152	8809	0	20
2018.10.17	11157	11214	10854	11029	10400	0	17
2018.10.18	11032	11052	10689	10709	16646	0	17
2018.10.19	10767	11194	10727	11092	16602	0	17
2018.10.22	11122	11707	11107	11557	11050	0	20
2018.10.23	11544	11602	11104	11287	13647	0	20
2018.10.24	11294	11527	11122	11132	15161	0	20
2018.10.25	11124	11487	11019	11402	14052	0	20
2018.10.26	11384	11409	11152	11339	16415	0	20
2018.10.29	11319	11374	10675	10753	13404	0	20
2018.10.30	10823	11059	10760	10907	15910	0	20
2018.10.31	10934	11199	10907	11157	10605	0	20
2018.11.01	11134	11529	11134	11474	12694	0	17
2018.11.02	11502	11744	11302	11434	14776	0	20
2018.11.05	11454	11467	11302	11377	9733	0	20
2018.11.06	11399	11434	11209	11294	7187	0	20
2018.11.07	11322	11457	11222	11382	9187	0	20
2018.11.08	11414	11434	11162	11182	7185	0	20
2018.11.09	11214	11224	10862	10924	8014	0	20
2018.11.12	10957	11069	10904	10942	7761	0	20
2018.11.13	10894	11292	10882	11189	10464	0	20
2018.11.14	11212	11227	10949	11019	10078	0	20
2018.11.15	11034	11289	10987	11217	10768	0	20
2018.11.16	11209	11312	11047	11277	9564	0	20
2018.11.19	11239	11362	11154	11192	12977	0	17
2018.11.20	11202	11237	10897	10942	10435	0	20
2018.11.21	10964	11189	10949	11104	7948	0	20
2018.11.22	11122	11134	10962	10987	4980	0	20
2018.11.23	10994	11044	10817	10879	7667	0	17
2018.11.26	10887	10977	10834	10932	6426	0	20
2018.11.27	10899	10927	10775	10860	7922	0	20
2018.11.28	10867	11112	10842	11084	6144	0	20
2018.11.29	11074	11082	10862	10942	6985	0	20
2018.11.30	10937	11069	10877	11069	6178	0	20
2018.12.03	11252	11392	11172	11339	6970	0	20
2018.12.04	11284	11314	11119	11124	9702	0	17
2018.12.05	11124	11252	11089	11167	6523	0	17
2018.12.06	11107	11109	10874	10999	15519	0	17
2018.12.07	10999	11032	10814	10824	11397	0	17
2018.12.10	10847	10922	10772	10907	11119	0	17
2018.12.11	10877	11014	10854	10979	6987	0	17
2018.12.12	11009	11077	10927	11022	5806	0	20
2018.12.13	11019	11217	10994	11152	6612	0	20
2018.12.14	11127	11129	10967	11024	5499	0	20
2018.12.17	11029	11044	10852	10852	6647	0	20
2018.12.18	10879	11012	10814	10892	6917	0	20
2018.12.19	10882	10907	10602	10624	7527	0	20
2018.12.20	10679	10762	10499	10532	9628	0	20
2018.12.21	10529	10577	10317	10319	9322	0	20
2018.12.24	10324	10434	10277	10342	6513	0	20
2018.12.26	10277	10407	10249	10407	4759	0	20
2018.12.27	10394	10447	10224	10317	7935	0	17
2018.12.28	10307	10457	10302	10419	6754	0	20
2018.12.31	10419	10472	10367	10384	1622	0	20
2019.01.02	10242	10297	10197	10264	3168	0	20
2019.01.03	10242	10349	10199	10259	11482	0	17
2019.01.04	10242	10642	10199	10632	12261	0	17
2019.01.07	10639	10639	10442	10517	9418	0	17
2019.01.08	10514	10554	10422	10527	6098	0	20
2019.01.09	10524	10729	10507	10674	5930	0	20
2019.01.10	10644	10694	10539	10692	6267	0	20
2019.01.11	10664	10747	10619	10707	5861	0	20
2019.01.14	10714	10714	10567	10604	4594	0	20
2019.01.15	10612	10857	10599	10819	5801	0	20
2019.01.16	10817	10942	10779	10932	4374	0	0
2019.01.17	10902	10954	10782	10909	5159	0	20
2019.01.18	10907	11134	10857	11119	5598	0	20
2019.01.21	11079	11157	11019	11084	4313	0	20
2019.01.22	11079	11102	10872	10892	5138	0	20
2019.01.23	10897	11022	10889	10963	5058	0	20
2019.01.24	10945	11083	10885	11063	5231	0	20
2019.01.25	11078	11265	11050	11250	4928	0	20
2019.01.28	11238	11328	11103	11130	5379	0	20
2019.01.29	11120	11287	11093	11234	4829	0	20
2019.01.30	11247	11319	11182	11307	5210	0	20
2019.01.31	11274	11534	11242	11499	5777	0	20
2019.02.01	11502	11534	11384	11487	5566	0	20
2019.02.04	11502	11542	11452	11517	2594	0	20
2019.02.05	11519	11647	11504	11634	1619	0	20
2019.02.06	11634	11692	11557	11562	2300	0	20
2019.02.07	11569	11577	11412	11462	3003	0	20
2019.02.08	11432	11447	11289	11427	3886	0	20
2019.02.11	11397	11707	11367	11634	5703	0	20
2019.02.12	11677	11677	11539	11632	4161	0	20
2019.02.13	11659	11874	11612	11829	5049	0	20
2019.02.14	11797	11869	11739	11814	5130	0	20
2019.02.15	11779	11802	11522	11667	5295	0	20
2019.02.18	11679	11869	11672	11854	4084	0	20
2019.02.19	11857	11994	11764	11922	4943	0	20
2019.02.20	11902	11969	11807	11944	5107	0	20
2019.02.21	11924	11992	11779	11822	6339	0	20
2019.02.22	11827	12062	11702	12032	6250	0	20
2019.02.25	12039	12822	12029	12759	9387	0	20
2019.02.26	12709	12752	12414	12514	10088	0	20
2019.02.27	12527	12732	12414	12522	10158	0	17
2019.02.28	12522	12617	12449	12489	8009	0	20
2019.03.01	12564	12942	12542	12929	8133	0	20
2019.03.04	12939	13294	12884	12982	15264	0	17
2019.03.05	12989	13037	12882	13014	8376	0	20
2019.03.06	12987	13039	12802	12977	8236	0	20
2019.03.07	12942	12969	12522	12562	10127	0	20
2019.03.08	12544	12577	12129	12169	11048	0	20
2019.03.11	12204	12559	12146	12544	8698	0	20
2019.03.12	12559	12622	12372	12492	8443	0	20
2019.03.13	12479	12577	12344	12477	8168	0	20
2019.03.14	12482	12612	12439	12482	7048	0	20
2019.03.15	12517	12779	12507	12689	7011	0	20
2019.03.18	12694	13034	12614	13019	7389	0	20
2019.03.19	13004	13062	12854	12909	5684	0	20
2019.03.20	12887	12994	12769	12879	7624	0	20
2019.03.21	12922	12944	12762	12889	8009	0	20
2019.03.22	12897	12914	12634	12659	8478	0	20
2019.03.25	12609	12672	12422	12502	8815	0	20
2019.03.26	12544	12607	12374	12528	7086	0	20
2019.03.27	12519	12679	12482	12562	7211	0	20
2019.03.28	12518	12642	12468	12627	7013	0	17
2019.03.29	12642	13134	12592	13054	7589	0	20
2019.04.01	13164	13442	13149	13439	7838	0	20
2019.04.02	13427	13427	13279	13292	6096	0	20
2019.04.03	13367	13532	13242	13457	6240	0	20
2019.04.04	13492	13699	13439	13682	7996	0	20
2019.04.05	13684	13809	13682	13792	2111	0	20
2019.04.08	13709	13864	13539	13732	9763	0	17
2019.04.09	13717	13804	13647	13694	8689	0	17
2019.04.10	13702	13917	13619	13799	10230	0	17
2019.04.11	13807	13912	13469	13497	11530	0	17
2019.04.12	13522	13789	13387	13744	11073	0	17
2019.04.15	13717	13904	13434	13472	8101	0	20
2019.04.16	13502	14047	13484	13982	8035	0	20
2019.04.17	13984	14052	13854	13952	7429	0	20
2019.04.18	13942	14007	13864	13992	6652	0	20
2019.04.19	13994	14239	13832	14224	7444	0	20
2019.04.22	14192	14194	13692	13797	8733	0	20
2019.04.23	13809	13959	13744	13864	7316	0	20
2019.04.24	13857	13944	13602	13704	8374	0	20
2019.04.25	13727	13794	13407	13477	8030	0	20
2019.04.26	13469	13597	13367	13495	7954	0	20
2019.04.29	13510	13795	13430	13608	7864	0	20
2019.04.30	13618	13708	13535	13654	7253	0	20
2019.05.01	13662	13754	13552	13554	2490	0	20
2019.05.02	13597	13699	13522	13572	4805	0	17
2019.05.03	13582	13814	13512	13782	4641	0	17
2019.05.06	13282	13299	12822	13222	12872	0	20
2019.05.07	13147	13164	12677	12807	15753	0	17
2019.05.08	12769	13002	12647	12737	12787	0	17
2019.05.09	12732	12787	12327	12594	18882	0	17
2019.05.10	12637	13017	12492	12887	23985	0	17
2019.05.13	12604	12837	12342	12357	15376	0	17
2019.05.14	12444	12862	12437	12759	16281	0	17
2019.05.15	12789	13117	12742	12974	15233	0	17
2019.05.16	12939	13169	12817	13084	10858	0	17
2019.05.17	13099	13127	12742	12767	15173	0	17
2019.05.20	12839	12897	12552	12629	14248	0	17
2019.05.21	12682	12964	12654	12782	10882	0	17
2019.05.22	12754	12844	12684	12722	9976	0	17
2019.05.23	12669	12691	12459	12536	10095	0	17
2019.05.24	12567	12747	12537	12577	8269	0	17
2019.05.27	12605	12777	12440	12670	7757	0	17
2019.05.28	12688	12892	12675	12684	7842	0	17
2019.05.29	12687	12989	12629	12829	8748	0	17
2019.05.30	12842	12904	12672	12784	8245	0	17
2019.05.31	12697	12892	12597	12686	11437	0	14
2019.06.03	12708	12908	12688	12851	9194	0	17
2019.06.04	12840	12855	12630	12818	6418	0	17
2019.06.05	12830	12865	12680	12725	6495	0	17
2019.06.06	12730	12750	12576	12685	6492	0	14
2019.06.07	12675	12857	12665	12802	2443	0	14
2019.06.10	12780	12910	12667	12887	5913	0	14
2019.06.11	12871	13199	12839	13114	6202	0	14
2019.06.12	13104	13119	12987	13010	5277	0	14
2019.06.13	13030	13095	12887	13042	6603	0	21
2019.06.14	13037	13112	12875	12897	6940	0	18
2019.06.17	12935	13100	12890	13005	6540	0	18
2019.06.18	13020	13338	12940	13296	8083	0	18
2019.06.19	13212	13402	13207	13264	7661	0	18
2019.06.20	13309	13757	13239	13717	8427	0	18
2019.06.21	13709	13732	13537	13549	7157	0	18
2019.06.24	13582	13699	13512	13672	6432	0	18
2019.06.25	13679	13702	13287	13382	8305	0	18
2019.06.26	13397	13566	13360	13451	6333	0	21
2019.06.27	13442	13682	13442	13596	6448	0	18
2019.06.28	13575	13641	13470	13636	5903	0	18
2019.07.01	13841	14068	13811	13963	6164	0	18
